Price,Open,High,Low,Vol,Change %
16906.51000,17154.83000,17154.83000,16817.62000,120.25100,-0.01470
17158.66000,17147.50000,17195.84000,17038.61000,105.75600,0.00060
17148.94000,17405.48000,17405.48000,16957.63000,148.06400,-0.01580
17425.03000,17590.66000,17590.66000,17421.16000,93.69300,-0.01020
17603.87000,17711.94000,17714.13000,17588.87000,59.76700,-0.00660
17720.98000,17547.37000,17750.02000,17547.37000,69.86800,0.01100
17528.27000,17535.66000,17536.90000,17437.34000,59.77700,-0.00140
17552.17000,17593.26000,17606.34000,17543.95000,40.35700,-0.00290
17602.61000,17427.63000,17607.92000,17427.63000,92.82100,0.01060
17417.27000,17253.55000,17451.11000,17242.86000,91.57700,0.00960
17251.62000,17154.94000,17272.36000,17116.73000,114.91200,0.00720
17128.55000,17495.04000,17496.58000,17124.31000,344.56500,-0.02100
17495.84000,17756.54000,17796.76000,17493.50000,115.78400,-0.01430
17749.09000,17530.85000,17784.36000,17483.68000,123.79900,0.01280
17524.91000,17374.78000,17627.63000,17341.18000,123.43100,0.00900
17368.50000,17277.11000,17378.02000,17138.47000,142.54000,0.00600
17265.21000,17574.75000,17574.75000,17230.50000,134.51100,-0.01760
17574.75000,17493.17000,17697.74000,17474.66000,107.31500,0.00470
17492.30000,17558.18000,17767.69000,17403.51000,122.02000,-0.00430
17568.00000,17703.99000,17703.99000,17485.39000,113.72000,-0.00920
17730.51000,17845.49000,17845.49000,17639.25000,99.67100,-0.00660
17847.63000,17482.68000,17866.47000,17482.68000,137.65300,0.02120
17477.67000,17741.57000,17780.59000,17425.56000,126.99700,-0.01420
17729.68000,17883.14000,17901.58000,17708.20000,102.86800,-0.00890
17888.35000,17719.72000,17895.50000,17719.72000,103.88500,0.00950
17719.92000,17802.84000,17837.24000,17719.79000,155.56200,-0.00440
17798.49000,17806.04000,17830.36000,17749.32000,46.82900,-0.00080
17813.39000,17820.81000,17854.92000,17801.83000,82.54900,0.00010
17812.19000,17770.90000,17862.60000,17683.51000,127.17900,0.00110
17792.68000,17823.61000,17868.18000,17751.53000,134.68800,-0.00170
17823.81000,17732.75000,17914.34000,17732.75000,153.14100,0.00510
17732.75000,17739.83000,17772.97000,17681.98000,114.63500,-0.00020
17737.16000,17485.49000,17752.16000,17485.49000,106.81600,0.01420
17489.50000,17486.99000,17599.33000,17451.41000,167.19000,0.00040
17483.01000,17229.94000,17483.01000,17210.43000,137.59100,0.01380
17245.24000,17439.25000,17439.25000,17238.89000,134.64400,-0.01160
17448.07000,17691.93000,17691.93000,17443.50000,113.66700,-0.01440
17702.22000,17769.50000,17807.18000,17696.91000,95.23200,-0.00320
17758.21000,17724.13000,17768.66000,17657.72000,108.64100,0.00160
17730.48000,17900.78000,17900.78000,17667.78000,121.21800,-0.01000
17910.33000,17855.22000,17912.04000,17768.60000,107.45300,0.00260
17863.43000,17871.25000,17929.51000,17779.19000,98.91300,-0.00020
17867.58000,17929.58000,17964.12000,17828.83000,99.89800,-0.00280
17918.15000,17819.74000,17977.85000,17796.02000,92.29500,0.00500
17828.76000,17672.62000,17845.90000,17655.02000,100.84600,0.00940
17663.54000,17756.60000,17799.96000,17662.87000,149.25400,-0.00520
17755.80000,17771.50000,17786.00000,17684.72000,90.30000,-0.00130
17779.52000,17586.69000,17779.95000,17556.71000,115.63200,0.01130
17581.43000,17608.89000,17635.18000,17540.57000,115.18300,-0.00240
17623.05000,17649.57000,17660.70000,17602.51000,116.66500,-0.00130
17646.70000,17525.11000,17679.37000,17525.11000,158.09000,0.00900
17489.16000,17180.88000,17505.18000,17180.88000,152.42600,0.01870
17168.61000,17225.93000,17314.99000,17153.13000,107.10100,-0.00280
17217.11000,17228.47000,17264.88000,17147.99000,106.67100,-0.00080
17230.54000,17209.43000,17235.95000,17129.19000,118.43400,0.00080
17215.97000,17141.75000,17220.02000,17107.35000,145.88700,0.00430
17141.75000,16944.86000,17144.42000,16933.57000,122.96500,0.01280
16924.75000,17079.08000,17111.38000,16887.67000,120.11500,-0.00920
17081.89000,17113.55000,17172.81000,17034.45000,99.40900,-0.00290
17131.86000,17082.29000,17139.21000,17064.58000,72.50600,0.00280
17084.49000,17054.69000,17110.88000,17027.23000,103.73900,0.00200
17050.75000,16904.17000,17081.28000,16859.34000,100.73500,0.00820
16912.29000,16805.42000,16963.30000,16765.00000,115.69900,0.00730
16790.19000,16774.02000,16865.09000,16746.03000,120.01900,0.00080
16776.43000,16502.10000,16798.37000,16502.10000,127.66300,0.01850
16472.37000,16258.25000,16472.77000,16013.66000,136.89700,0.01230
16272.01000,16278.62000,16348.87000,16073.82000,111.42100,-0.00080
16284.70000,16057.08000,16297.60000,16057.08000,145.74000,0.01470
16049.13000,16001.76000,16118.89000,15942.37000,121.16300,0.00300
16001.89000,16313.26000,16313.26000,15981.85000,139.93900,-0.01920
16314.67000,16205.07000,16465.23000,16205.07000,130.79700,0.00700
16201.32000,16257.11000,16257.11000,16016.36000,122.22200,-0.00480
16279.89000,16332.81000,16355.29000,16211.98000,86.03900,-0.00310
16330.47000,16477.45000,16477.45000,16221.73000,119.01700,-0.01090
16510.19000,16406.10000,16578.60000,16391.88000,90.73900,0.00770
16384.58000,16674.74000,16674.74000,16343.76000,341.71800,-0.01740
16674.74000,16738.08000,16933.43000,16639.93000,129.60400,-0.00390
16739.95000,16599.51000,16755.98000,16593.90000,99.62500,0.00840
16599.85000,16382.58000,16644.11000,16382.58000,93.05500,0.01400
16370.96000,16450.86000,16450.86000,16330.87000,92.66600,-0.00380
16433.09000,16330.40000,16434.76000,16244.65000,104.63900,0.00630
16330.40000,16252.57000,16441.94000,16212.08000,122.69000,0.00470
16253.57000,16505.04000,16664.65000,16220.10000,118.79700,-0.01450
16492.68000,16109.93000,16503.41000,16109.93000,123.87800,0.02420
16102.38000,16371.76000,16371.76000,16026.61000,127.27800,-0.01660
16374.76000,16364.34000,16550.07000,16317.31000,109.73600,0.00140
16351.38000,16058.35000,16352.58000,16058.35000,133.48800,0.01820
16058.35000,16528.03000,16528.03000,15979.95000,171.39500,-0.02840
16528.03000,16632.02000,16632.02000,16444.05000,141.44300,-0.00690
16643.01000,16649.42000,16669.97000,16535.18000,131.79100,-0.00070
16654.77000,16285.51000,16666.69000,16285.51000,171.98700,0.02270
16285.51000,15676.26000,16303.75000,15676.26000,208.42100,0.03950
15666.44000,15882.27000,16312.94000,15651.24000,213.22400,-0.01290
15871.35000,16459.75000,16459.75000,15370.33000,293.92500,-0.03570
16459.75000,16990.69000,16990.69000,16459.55000,225.17500,-0.03120
16990.69000,17345.32000,17345.32000,16990.69000,128.53900,-0.02060
17348.73000,17508.74000,17517.19000,17282.42000,104.72300,-0.00930
17511.34000,17537.30000,17568.40000,17486.42000,79.90400,-0.00190
17545.18000,17472.66000,17551.40000,17341.72000,73.38800,0.00390
17477.40000,17410.12000,17492.90000,17394.06000,82.12000,0.00400
17408.25000,17401.64000,17481.78000,17341.34000,88.55500,0.00030
17402.51000,17382.93000,17423.90000,17125.81000,120.40100,0.00000
17402.84000,17593.59000,17593.59000,17352.63000,103.01400,-0.01210
17615.17000,17375.18000,17629.13000,17375.18000,92.43700,0.01390
17373.38000,17414.94000,17414.94000,17279.08000,81.80800,-0.00270
17419.75000,17542.61000,17572.04000,17362.86000,96.17500,-0.00690
17540.47000,17555.24000,17661.37000,17492.90000,102.45700,-0.00060
17550.69000,17596.93000,17635.78000,17505.50000,99.06900,-0.00270
17598.20000,17696.74000,17704.76000,17496.61000,87.88000,-0.00520
17689.86000,17755.87000,17783.59000,17671.59000,106.12600,-0.00320
17745.98000,17743.24000,17761.25000,17640.85000,76.65800,-0.00030
17751.39000,17631.40000,17776.78000,17629.20000,93.14900,0.00690
17630.27000,17449.81000,17650.07000,17449.81000,103.45700,0.01090
17440.59000,17561.78000,17561.78000,17399.17000,117.86900,-0.00730
17568.53000,17731.05000,17756.54000,17553.73000,103.47300,-0.00920
17731.92000,17853.78000,17860.95000,17705.03000,88.60200,-0.00670
17851.04000,17918.35000,17919.35000,17807.41000,112.37400,-0.00380
17919.29000,18096.67000,18096.67000,17868.34000,100.17900,-0.01000
